Lamongan,Banyuwangi,Tuban,Kota,Jadwal,Suhu Bulan -3 (C),Suhu Bulan -2 (C),Suhu Bulan -1 (C),Suhu Bulan Saat Itu (C),Kelembaban Bulan -3 (RH),Kelembaban Bulan -2 (RH),Kelembaban Bulan -1 (RH),Kelembaban Bulan Saat Itu (RH),Curah Hujan Bulan -3 (mm),Curah Hujan Bulan -2 (mm),Curah Hujan Bulan -1 (mm),Curah Hujan Bulan Saat Itu (mm),Lama Penyinaran Saat Itu (Jam),Luas lahan Saat Itu (Ha),Total Produksi Beras Saat Itu (Ton),Total Konsumsi Beras Saat Itu (Juta Ton),Saran Distribusi Panen Saat Itu,Catatan:
0,1,0,Banyuwangi,Januari 2019,28.78,29.21,29.15,28.08,70.03,75.37,75.23,80.21,0.14,18.4,4.65,10.71,4.95,7559,24683.18,14636.19136,,
0,1,0,Banyuwangi,Februari,29.21,29.15,28.08,28.35,75.37,75.23,80.21,76.96,18.4,4.65,10.71,4.88,6.27,3129,10217.73,13009.94787,,
0,1,0,Banyuwangi,Maret,29.15,28.08,28.35,27.92,75.23,80.21,76.96,80.13,4.65,10.71,4.88,8.78,4.98,7587,24777.63,14636.19136,,
0,1,0,Banyuwangi,April,28.08,28.35,27.92,28.61,80.21,76.96,80.13,79.43,10.71,4.88,8.78,10.8,6.9,15779,51528.42,14229.63049,,
0,1,0,Banyuwangi,Mei,28.35,27.92,28.61,28.15,76.96,80.13,79.43,78.19,4.88,8.78,10.8,1.13,8.21,9729,29243.91,14229.63049,,
0,1,0,Banyuwangi,Juni,27.92,28.61,28.15,26.56,80.13,79.43,78.19,78.8,8.78,10.8,1.13,0.74,7.46,3376,10147.88,14229.63049,,
0,1,0,Banyuwangi,Juli,28.61,28.15,26.56,25.87,79.43,78.19,78.8,78.61,10.8,1.13,0.74,0,7.6,3174,9540.8,14636.19136,,
0,1,0,Banyuwangi,Agustus,28.15,26.56,25.87,25.96,78.19,78.8,78.61,77.23,1.13,0.74,0,0.39,7.96,6774,20361.59,14636.19136,,
0,1,0,Banyuwangi,September,26.56,25.87,25.96,26.24,78.8,78.61,77.23,77.7,0.74,0,0.39,1.19,8.66,8855,27265.68,14229.63049,,
0,1,0,Banyuwangi,Oktober,25.87,25.96,26.24,28.12,78.61,77.23,77.7,71.71,0,0.39,1.19,0,9.55,8888,27366.8,14636.19136,,
0,1,0,Banyuwangi,November,25.96,26.24,28.12,29.28,77.23,77.7,71.71,70.67,0.39,1.19,0,0.13,9.63,4063,12511.74,14229.63049,,
0,1,0,Banyuwangi,Desember,26.24,28.12,29.28,30.16,77.7,71.71,70.67,69.97,1.19,0,0.13,0.56,8,2640,8128.77,14636.19136,,
0,0,1,Tuban,Januari 2019,29.14,29.17,28.05,27.24,66.68,72.6,79.97,85.29,0.55,4.77,8.06,15.51,4.18,3772,11590.42,10635.23828,,
0,0,1,Tuban,Februari,29.17,28.05,27.24,27.62,72.6,79.97,85.29,84.61,4.77,8.06,15.51,8.2,6.3,5928,18216.62,9453.545136,,
0,0,1,Tuban,Maret,28.05,27.24,27.62,27.08,79.97,85.29,84.61,85.13,8.06,15.51,8.2,10.02,5.41,13357,41044.27,10635.23828,,
0,0,1,Tuban,April,27.24,27.62,27.08,28.09,85.29,84.61,85.13,83.37,15.51,8.2,10.02,16.24,7.05,27854,85570.82,10339.81499,,
0,0,1,Tuban,Mei,27.62,27.08,28.09,28.12,84.61,85.13,83.37,78.29,8.2,10.02,16.24,6.68,8.77,6665,19437.87,10339.81499,,
0,0,1,Tuban,Juni,27.08,28.09,28.12,27.22,85.13,83.37,78.29,74.13,10.02,16.24,6.68,0.2,8.18,3704,10804.02,10339.81499,,
0,0,1,Tuban,Juli,28.09,28.12,27.22,26.45,83.37,78.29,74.13,72.94,16.24,6.68,0.2,0.24,8.35,7322,21359.23,10635.23828,,
0,0,1,Tuban,Agustus,28.12,27.22,26.45,26.7,78.29,74.13,72.94,70.9,6.68,0.2,0.24,0,8.76,5179,15103.27,10635.23828,,
0,0,1,Tuban,September,27.22,26.45,26.7,27.28,74.13,72.94,70.9,70.13,0.2,0.24,0,0,8.94,3175,13768.52,10339.81499,,
0,0,1,Tuban,Oktober,26.45,26.7,27.28,28.85,72.94,70.9,70.13,66.9,0.24,0,0,0.21,8.43,10103,43813.82,10635.23828,,
0,0,1,Tuban,November,26.7,27.28,28.85,29.8,70.9,70.13,66.9,67.77,0,0,0.21,3.34,9.27,2991,12969.53,10339.81499,,
0,0,1,Tuban,Desember,27.28,28.85,29.8,29.07,70.13,66.9,67.77,76.94,0,0.21,3.34,4.02,6.65,1152,4995.64,10635.23828,,
1,0,0,Lamongan,Januari 2020,28.89,30.25,29.86,28.38,68,67.73,74.89,81.84,0,0.88,7.08,11.45,5.04,333,1194.46,11899.4496,,
1,0,0,Lamongan,Februari,30.25,29.86,28.38,27.68,67.73,74.89,81.84,85.45,0.88,7.08,11.45,18.84,4.72,2676,9610.85,11238.36907,,
1,0,0,Lamongan,Maret,29.86,28.38,27.68,28.19,74.89,81.84,85.45,83.77,7.08,11.45,18.84,10.53,5.54,26873,96343.8,11899.4496,,
1,0,0,Lamongan,April,28.38,27.68,28.19,28.54,81.84,85.45,83.77,82.6,11.45,18.84,10.53,13.42,6.28,28882,103583.39,11568.90933,,
1,0,0,Lamongan,Mei,27.68,28.19,28.54,28.39,85.45,83.77,82.6,82.58,18.84,10.53,13.42,18.13,7.04,8313,25728.34,11899.4496,,
1,0,0,Lamongan,Juni,28.19,28.54,28.39,27.68,83.77,82.6,82.58,79.66,10.53,13.42,18.13,1.81,7.42,12092,37383.78,11568.90933,,
1,0,0,Lamongan,Juli,28.54,28.39,27.68,27.28,82.6,82.58,79.66,76.17,13.42,18.13,1.81,0.1,8.25,16057,49665.76,11899.4496,,
1,0,0,Lamongan,Agustus,28.39,27.68,27.28,27.54,82.58,79.66,76.17,75.77,18.13,1.81,0.1,0.88,8.65,28751,89056.54,11899.4496,,
1,0,0,Lamongan,September,27.68,27.28,27.54,28.72,79.66,76.17,75.77,70.88,1.81,0.1,0.88,0,9.01,14188,56447.88,11568.90933,,
1,0,0,Lamongan,Oktober,27.28,27.54,28.72,29.18,76.17,75.77,70.88,72.97,0.1,0.88,0,1.99,7.03,7185,28600.74,11899.4496,,
1,0,0,Lamongan,November,27.54,28.72,29.18,29.17,75.77,70.88,72.97,76.73,0.88,0,1.99,6.7,6.29,722,2874.25,11568.90933,,
1,0,0,Lamongan,Desember,28.72,29.18,29.17,27.26,70.88,72.97,76.73,85.06,0,1.99,6.7,21.84,3.27,357,1422.82,11899.4496,,
0,1,0,Banyuwangi,Januari 2020,28.12,29.28,30.16,28.77,71.71,70.67,69.97,74.52,0,0.13,0.56,5.45,6.56,5179,16351.04,15121.37011,,
0,1,0,Banyuwangi,Februari,29.28,30.16,28.77,28.11,70.67,69.97,74.52,79.89,0.13,0.56,5.45,11.02,5.67,2264,7148.78,14281.29399,,
0,1,0,Banyuwangi,Maret,30.16,28.77,28.11,28.1,69.97,74.52,79.89,80.52,0.56,5.45,11.02,8.83,5.57,2093,6606.55,15121.37011,,
0,1,0,Banyuwangi,April,28.77,28.11,28.1,28.91,74.52,79.89,80.52,77.1,5.45,11.02,8.83,1.77,6.97,11703,36945.58,14701.33205,,
0,1,0,Banyuwangi,Mei,28.11,28.1,28.91,28.14,79.89,80.52,77.1,81.45,11.02,8.83,1.77,7.76,6.17,16607,52136.87,15121.37011,,
0,1,0,Banyuwangi,Juni,28.1,28.91,28.14,26.97,80.52,77.1,81.45,79.93,8.83,1.77,7.76,3.37,7.45,7428,23321.01,14701.33205,,
0,1,0,Banyuwangi,Juli,28.91,28.14,26.97,26.32,77.1,81.45,79.93,80.27,1.77,7.76,3.37,3.15,7.29,2788,8751.61,15121.37011,,
0,1,0,Banyuwangi,Agustus,28.14,26.97,26.32,26.36,81.45,79.93,80.27,81.03,7.76,3.37,3.15,2.54,7.41,4466,14020.12,15121.37011,,
0,1,0,Banyuwangi,September,26.97,26.32,26.36,27.12,79.93,80.27,81.03,78.82,3.37,3.15,2.54,2.55,8.31,9592,29533.87,14701.33205,,
0,1,0,Banyuwangi,Oktober,26.32,26.36,27.12,27.54,80.27,81.03,78.82,80.61,3.15,2.54,2.55,10.29,6.85,14468,44547.69,15121.37011,,
0,1,0,Banyuwangi,November,26.36,27.12,27.54,28.64,81.03,78.82,80.61,77.17,2.54,2.55,10.29,1.89,7.22,4896,15074.2,14701.33205,,
0,1,0,Banyuwangi,Desember,27.12,27.54,28.64,27.34,78.82,80.61,77.17,81.42,2.55,10.29,1.89,5.74,3.95,3582,11029.17,15121.37011,,
0,0,1,Tuban,Januari 2020,28.85,29.8,29.07,28.04,66.9,67.77,76.94,81.97,0.21,3.34,4.02,3.99,4.82,3183,9994.04,10605.60527,,
0,0,1,Tuban,Februari,29.8,29.07,28.04,27.8,67.77,76.94,81.97,83.97,3.34,4.02,3.99,8.15,4.86,6250,19622.06,10016.40498,,
0,0,1,Tuban,Maret,29.07,28.04,27.8,28.23,76.94,81.97,83.97,82.87,4.02,3.99,8.15,7.59,6.5,10599,33274.79,10605.60527,,
0,0,1,Tuban,April,28.04,27.8,28.23,28.21,81.97,83.97,82.87,84.23,3.99,8.15,7.59,10.16,6.46,21304,66879.08,10311.00513,,
0,0,1,Tuban,Mei,27.8,28.23,28.21,28.22,83.97,82.87,84.23,83.06,8.15,7.59,10.16,4.18,6.9,15556,42986.48,10605.60527,,
0,0,1,Tuban,Juni,28.23,28.21,28.22,27.6,82.87,84.23,83.06,79.97,7.59,10.16,4.18,1.23,7.27,4591,12687.32,10311.00513,,
0,0,1,Tuban,Juli,28.21,28.22,27.6,27.21,84.23,83.06,79.97,75.35,10.16,4.18,1.23,1.82,8.23,5727,15827.14,10605.60527,,
0,0,1,Tuban,Agustus,28.22,27.6,27.21,27.35,83.06,79.97,75.35,76.13,4.18,1.23,1.82,2.9,8.8,7264,20072.58,10605.60527,,
0,0,1,Tuban,September,27.6,27.21,27.35,28.4,79.97,75.35,76.13,71.44,1.23,1.82,2.9,0.4,8.53,5416,23487.19,10311.00513,,
0,0,1,Tuban,Oktober,27.21,27.35,28.4,28.73,75.35,76.13,71.44,72.97,1.82,2.9,0.4,1.95,6.25,9313,40388.22,10605.60527,,
0,0,1,Tuban,November,27.35,28.4,28.73,28.82,76.13,71.44,72.97,77,2.9,0.4,1.95,8.92,6.61,1752,7599.35,10311.00513,,
0,0,1,Tuban,Desember,28.4,28.73,28.82,27.2,71.44,72.97,77,84.29,0.4,1.95,8.92,13.01,3.07,1466,6359.52,10605.60527,,
